LONGITUDE,LATITUDE,OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,HOUR_IMPACTED,STATUS,BREAK_NATURE,BREAK_APPARENT_CAUSE,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,ROADSEGMENTID,STREET,ASSETID,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
-80.461944746093,43.4515147146989,8020,435,2004-02-13 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,22901,WEDGEWOOD DR,41460,150.0,1958.0,CI,Y,227c08a8-119e-4ffa-b7ba-9d4b5d949589
-80.4443033712375,43.4631839990736,8021,810,1998-01-23 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,23116,TUPPER CRES,38490,150.0,1966.0,CI,Y,7b7a2206-6e79-43c4-b1a5-1b7840f953cc
-80.4375434442071,43.4524093903879,8022,698,1997-11-26 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,13177,CARNABY CRES,5510,150.0,1967.0,CI,Y,9b6a88d1-0c7f-438f-98c0-fd03b2b60209
-80.5177242519568,43.451689823285,8023,92,2003-09-22 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,1266,GLASGOW ST,79000,300.0,2013.0,PVCO,N,87145d23-d418-4c40-bc7d-96f4f6455a58
-80.4963250768428,43.4398453127661,8024,1295,2005-01-29 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,5724,RUBY ST,72730,150.0,2005.0,PVC,N,65adfa46-fa5d-48d2-9c77-aaa9d1e71a88
-80.4465885353368,43.4259577870746,8025,1366,2009-02-11 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,10954,GREENFIELD AVE,17400,150.0,1953.0,CI,Y,3efb365d-07f8-48df-808d-2a10fce168f4
-80.4607429914492,43.4340899024114,8026,305,2005-03-13 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,13316,PLYMOUTH RD,76727,150.0,2010.0,PVC,N,ef4fe908-6aa2-44cd-8f4b-4cfc9c0a05f3
-80.4394728082583,43.4568314413175,8027,1341,2009-01-17 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,23174,KINGSTON CRES,22200,150.0,1966.0,CI,Y,1092fdd4-37f9-440f-935b-fbd7dd1ab460
-80.4418087849899,43.4422246738251,8029,741,1997-09-05 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,13197,RENNIE DR,32170,150.0,1963.0,CI,Y,c0e94a96-cf7f-4fa3-b1e0-b8bb502953bd
-80.5325039485572,43.4211804046397,8030,957,2000-09-19 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,5418,BLUE SPRUCE CRT,3620,150.0,1973.0,DI,Y,5fffe285-cb2b-49a9-9533-7db349d93c61
