longitude,latitude,incident_date,break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_year_installed,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,connections,failure_rate
-80.4869408267577,43.4709973690318,2013-02-05,0,0,1,0,150.0,1947-01-01,1,1,66.0,1,1,1,1,1,1,1,1,0.02
-80.5392000408656,43.4335525866539,2013-02-01,0,2,2,0,300.0,1988-01-01,4,2,25.0,1,1,1,1,1,0,1,1,0.08
-80.4641190111273,43.4831298131283,2013-02-04,0,0,0,0,150.0,1964-01-01,1,6,49.0,1,1,1,1,1,1,1,6,0.12
-80.5392137788314,43.4335477733371,2013-02-01,0,0,2,0,300.0,1988-01-01,4,2,25.0,1,1,1,1,1,1,1,1,0.08
-80.5194806886154,43.4324128022156,2013-01-30,0,0,1,0,150.0,1967-01-01,1,6,46.0,1,1,1,1,1,1,1,6,0.13
-80.5130217558478,43.4450578890457,2004-02-26,0,4,4,0,300.0,1957-01-01,1,1,47.0,1,1,1,1,1,1,1,1,0.02
-80.4702101918554,43.442720365882,2005-03-03,0,4,4,0,150.0,1952-01-01,1,12,53.0,1,1,1,1,1,1,1,13,0.23
-80.5241396959951,43.4386532512731,2006-06-25,0,4,4,0,300.0,1968-01-01,4,3,38.0,1,1,1,1,1,1,1,3,0.08
-80.4571046885157,43.4612145159239,2009-01-18,0,4,4,0,150.0,1958-01-01,1,4,51.0,1,1,1,1,1,1,1,4,0.08
-80.4601252264512,43.4490592529973,2005-02-18,0,4,4,0,150.0,1958-01-01,1,3,47.0,1,1,1,1,1,1,1,4,0.06
-80.5199024419077,43.4322650449275,2002-12-22,0,4,4,0,150.0,1967-01-01,1,6,35.0,1,1,1,1,1,1,1,6,0.17
-80.4565505621126,43.4648200336837,2006-01-30,0,4,4,0,100.0,1963-01-01,4,1,43.0,1,1,1,1,1,1,1,1,0.02
-80.4384452835262,43.4485574748735,2003-02-17,0,4,4,0,150.0,1967-01-01,1,5,36.0,1,1,1,1,1,1,1,7,0.14
-80.4805670506012,43.4429317955209,1999-01-28,0,4,4,0,150.0,1940-01-01,1,8,59.0,1,1,1,1,1,1,1,9,0.14
-80.5180611674964,43.4239368662248,2006-12-18,0,4,4,0,150.0,1974-01-01,1,4,32.0,1,1,1,1,1,1,1,6,0.12
-80.5212970978254,43.427710401464,2006-03-20,0,4,4,0,150.0,1964-01-01,1,1,42.0,1,1,1,1,1,1,1,1,0.02
-80.4879842806125,43.4301784876893,1999-10-24,0,4,4,0,150.0,1964-01-01,4,1,35.0,1,1,1,1,1,1,1,1,0.03
-80.4639380990025,43.4663870719938,2003-09-22,0,4,4,0,150.0,1960-01-01,1,2,43.0,1,1,1,1,1,1,1,8,0.05
-80.4592922933936,43.4353222010894,2000-12-19,0,4,4,0,600.0,1960-01-01,3,1,40.0,1,1,1,1,1,1,1,3,0.02
-80.4603298891843,43.4370422209292,2000-10-31,0,4,4,0,150.0,1971-01-01,4,2,29.0,1,1,1,1,1,1,1,2,0.07
-80.5010561119255,43.4304404317091,2001-01-12,0,4,4,0,100.0,1969-01-01,4,3,32.0,1,1,1,1,1,1,1,1,0.09
-80.46591448878,43.4446295811148,2009-10-05,0,4,4,0,150.0,1956-01-01,1,5,53.0,1,1,1,1,1,1,1,5,0.09
-80.456111979612,43.4627004948489,2006-02-17,0,4,4,0,200.0,1961-01-01,1,2,45.0,1,1,1,1,1,1,1,2,0.04
-80.5018397781156,43.4252336160455,2002-11-25,0,4,4,0,150.0,1962-01-01,1,3,40.0,1,1,1,1,1,1,1,1,0.08
-80.5269701963087,43.4437217985213,2002-02-15,0,4,4,0,150.0,1969-01-01,4,2,33.0,1,1,1,1,1,1,1,2,0.06
-80.5363262939598,43.4406466099051,2007-06-04,0,4,4,0,150.0,1972-01-01,4,1,35.0,1,1,1,1,1,1,1,2,0.03
-80.4476170428567,43.4599040727558,2002-01-07,0,4,4,0,150.0,1965-01-01,4,1,37.0,1,1,1,1,1,1,1,1,0.03
-80.4427425948812,43.4608762190865,2005-03-07,0,4,4,0,150.0,1966-01-01,1,2,39.0,1,1,1,1,1,1,1,1,0.05
-80.439172617277,43.4550047457905,2009-03-19,0,4,4,0,150.0,1967-01-01,1,1,42.0,1,1,1,1,1,1,1,1,0.02
-80.5078210818357,43.4322618857906,2004-09-16,0,4,4,0,450.0,1956-01-01,1,1,48.0,1,1,1,1,1,1,1,1,0.02
-80.5370289904866,43.4418896957856,2002-04-02,0,4,4,0,300.0,1969-01-01,4,3,33.0,1,1,1,1,1,1,1,3,0.09
-80.5084611835503,43.4358644950258,2000-12-02,0,4,4,0,150.0,1958-01-01,1,2,42.0,1,1,1,1,1,1,1,3,0.05
-80.4377354821062,43.4362625534589,2004-02-04,0,4,4,0,200.0,1959-01-01,1,3,45.0,1,1,1,1,1,1,1,3,0.07
-80.5322038371804,43.4420608948539,2008-04-14,0,4,4,0,150.0,1968-01-01,4,3,40.0,1,1,1,1,1,1,1,3,0.08
-80.4703406515507,43.4579028564909,2003-02-13,0,4,4,0,150.0,1952-01-01,1,2,51.0,1,1,1,1,1,1,1,3,0.04
-80.4511915253122,43.4230177843795,2009-02-05,0,4,4,0,150.0,1954-01-01,1,1,55.0,1,1,1,1,1,1,1,2,0.02
-80.5169189527525,43.4287982246907,2003-12-26,0,4,4,0,150.0,1963-01-01,1,4,40.0,1,1,1,1,1,1,1,4,0.1
-80.4589831776774,43.4534140324227,1999-03-12,0,4,4,0,150.0,1958-01-01,1,4,41.0,1,1,1,1,1,1,1,4,0.1
-80.4513749447578,43.4406625429507,1998-06-29,0,4,4,0,150.0,1958-01-01,1,4,40.0,1,1,1,1,1,1,1,5,0.1
-80.4435511280429,43.4556446425053,2001-10-22,0,4,4,0,150.0,1967-01-01,4,4,34.0,1,1,1,1,1,1,1,4,0.12
-80.4857453119501,43.4601196215637,2001-07-31,0,4,4,0,200.0,1975-01-01,4,1,26.0,1,1,1,1,1,1,1,1,0.04
-80.4561816013782,43.4250383697794,2008-02-11,0,4,4,0,200.0,1953-01-01,1,2,55.0,1,1,1,1,1,1,1,2,0.04
-80.5001495709915,43.4511346439254,2003-03-24,0,4,4,0,150.0,1933-01-01,1,4,70.0,1,1,1,1,1,1,1,7,0.06
-80.5042021763691,43.4431668821553,2013-01-28,0,0,1,0,200.0,1992-01-01,4,1,21.0,1,1,1,1,1,1,1,1,0.05
-80.4566562154875,43.43449980082,2013-01-27,0,0,5,0,150.0,1957-01-01,1,4,56.0,1,1,1,1,1,1,1,4,0.07
-80.4716799081234,43.4419317139899,2013-01-26,0,0,6,0,150.0,1920-01-01,1,1,93.0,1,1,1,1,1,1,1,1,0.01
-80.4579198221934,43.4536454318789,2013-01-26,0,0,1,0,150.0,1958-01-01,1,4,55.0,1,1,1,1,1,1,1,5,0.07
-80.4503720347472,43.4534948486929,2013-01-25,0,0,1,0,150.0,1960-01-01,1,3,53.0,1,1,1,1,1,1,1,3,0.06
-80.445292151779,43.4636261766427,2013-01-23,0,0,1,0,150.0,1966-01-01,1,7,47.0,1,1,1,1,1,1,1,7,0.15
-80.5068317743118,43.4175707696106,2013-01-19,0,0,1,0,300.0,1959-01-01,1,1,54.0,1,1,1,1,1,1,1,1,0.02
-80.5276490045623,43.4465836761657,2013-01-18,0,0,1,0,150.0,1966-01-01,1,6,47.0,1,1,1,1,1,1,1,6,0.13
