break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,failure_rate
0,4,4,0,150.0,1,5,55,1,1,1,1,1,1,1,0.0909
0,4,4,0,150.0,1,3,52,1,1,1,1,1,1,1,0.0577
0,4,4,0,200.0,4,2,51,1,1,1,1,1,1,1,0.0392
0,4,4,0,150.0,1,5,59,1,1,1,1,1,1,1,0.0847
0,4,4,0,200.0,1,6,60,1,1,1,1,1,1,1,0.1
0,4,4,0,200.0,1,1,66,1,1,1,1,1,1,1,0.0152
0,4,4,0,150.0,1,3,64,1,1,1,1,1,1,1,0.0469
0,4,4,0,200.0,4,2,41,1,1,1,1,1,1,1,0.0488
0,4,4,0,100.0,1,2,64,1,1,1,1,1,1,1,0.0312
0,4,4,0,200.0,1,1,68,1,1,1,1,1,1,1,0.0147
0,4,4,0,300.0,1,1,88,1,1,1,1,1,1,1,0.0114
0,4,4,0,300.0,4,2,39,1,1,1,1,1,1,1,0.0513
0,4,4,0,150.0,1,5,51,1,1,1,1,1,1,1,0.098
0,4,4,0,300.0,4,1,31,1,1,1,1,1,1,1,0.0323
0,4,4,0,300.0,4,9,47,1,1,1,1,1,1,1,0.1915
0,4,4,0,300.0,6,1,16,1,1,1,1,1,0,1,0.0625
0,4,4,0,200.0,4,2,39,1,1,1,1,1,1,1,0.0513
0,4,4,0,300.0,4,1,42,1,1,1,1,1,1,1,0.0238
0,4,4,0,150.0,1,9,58,1,1,1,1,1,1,1,0.1552
0,4,4,0,150.0,4,3,47,1,1,1,1,1,1,1,0.0638
0,4,4,0,150.0,4,4,37,1,1,1,1,1,1,1,0.1081
0,4,4,0,150.0,1,4,49,1,1,1,1,1,1,1,0.0816
0,4,4,0,200.0,6,1,24,1,1,1,1,1,1,1,0.0417
0,4,4,0,150.0,4,1,31,1,1,1,1,1,1,1,0.0323
0,4,4,0,150.0,1,2,58,1,1,1,1,1,1,1,0.0345
0,4,4,0,200.0,4,1,42,1,1,1,1,1,0,1,0.0238
0,4,4,0,150.0,1,1,70,1,1,1,1,1,1,1,0.0143
0,4,4,0,200.0,1,6,56,1,1,1,1,1,1,1,0.1071
0,4,4,0,200.0,1,7,56,1,1,1,1,1,1,1,0.125
0,4,4,0,300.0,6,1,21,1,1,1,1,1,1,1,0.0476
0,4,4,0,150.0,1,8,58,1,1,1,1,1,1,1,0.1379
0,4,4,0,150.0,1,2,63,1,1,1,1,1,1,1,0.0317
0,4,4,0,200.0,4,1,52,1,1,1,1,1,1,1,0.0192
0,4,4,0,200.0,4,1,52,1,1,1,1,1,1,1,0.0192
0,4,4,0,150.0,1,7,60,1,1,1,1,1,1,1,0.1167
0,4,4,0,150.0,1,3,57,1,1,1,1,1,1,1,0.0526
0,4,4,0,150.0,1,6,54,1,1,1,1,1,1,1,0.1111
0,4,4,0,150.0,1,4,59,1,1,1,1,1,1,1,0.0678
0,4,4,0,150.0,1,2,60,1,1,1,1,1,1,1,0.0333
0,4,4,0,150.0,1,3,43,1,1,1,1,1,1,1,0.0698
0,4,4,0,150.0,1,3,43,1,1,1,1,1,1,1,0.0698
0,4,4,0,150.0,1,2,56,1,1,1,1,1,1,1,0.0357
0,4,4,0,200.0,1,3,64,1,1,1,1,1,1,1,0.0469
0,4,4,0,150.0,1,5,52,1,1,1,1,1,1,1,0.0962
0,4,4,0,150.0,1,5,52,1,1,1,1,1,1,1,0.0962
0,4,4,0,150.0,1,3,57,1,1,1,1,1,1,1,0.0526
0,4,4,0,150.0,1,11,60,1,1,1,1,1,1,1,0.1833
0,4,4,0,150.0,1,2,59,1,1,1,1,1,1,1,0.0339
0,4,4,0,300.0,4,1,32,1,1,1,1,1,1,1,0.0312
0,4,4,0,200.0,1,1,68,1,1,1,1,1,1,1,0.0147
0,0,0,0,150.0,1,3,53,1,1,1,1,1,1,1,0.0566
0,0,0,0,150.0,1,1,55,1,1,1,1,1,1,1,0.0182
0,0,0,0,150.0,1,7,53,1,1,1,1,1,1,1,0.1321
0,0,0,0,200.0,1,3,57,1,1,1,1,1,1,1,0.0526
0,1,4,0,150.0,1,6,55,1,1,1,1,1,1,1,0.1091
0,4,1,0,600.0,6,1,9,1,1,1,1,1,1,1,0.1111
0,3,1,0,200.0,1,2,66,1,1,1,1,1,1,1,0.0303
0,0,1,0,150.0,4,1,45,1,1,1,1,1,1,1,0.0222
0,3,4,0,300.0,4,1,44,1,1,1,1,1,1,1,0.0227
0,4,2,0,150.0,4,2,43,1,1,1,1,1,1,1,0.0465
0,0,6,0,200.0,4,1,52,1,1,1,1,1,1,1,0.0192
0,4,1,0,300.0,1,1,69,1,1,1,1,1,1,1,0.0145
0,4,4,0,200.0,4,1,46,1,1,1,1,1,1,1,0.0217
0,4,4,0,300.0,1,1,54,1,1,1,1,1,1,1,0.0185
0,0,0,0,300.0,4,2,55,1,1,1,1,1,1,1,0.0364
0,0,2,0,150.0,4,1,38,1,1,1,1,1,1,1,0.0263
0,0,0,0,150.0,1,1,69,1,1,1,1,1,1,1,0.0145
0,0,0,0,150.0,1,2,62,1,1,1,1,1,1,1,0.0323
0,0,4,0,150.0,1,2,62,1,1,1,1,1,1,1,0.0323
0,0,0,0,300.0,1,1,60,1,1,1,1,1,1,1,0.0167
0,0,6,0,150.0,1,2,65,1,1,1,1,1,1,1,0.0308
0,0,0,0,200.0,4,3,55,1,1,1,1,1,1,1,0.0545
0,0,0,0,150.0,1,10,57,1,1,1,1,1,1,1,0.1754
0,0,0,0,150.0,1,6,53,1,1,1,1,1,1,1,0.1132
0,0,0,0,150.0,1,3,53,1,1,1,1,1,1,1,0.0566
0,0,0,0,200.0,1,2,58,1,1,1,1,1,1,1,0.0345
0,0,0,0,200.0,1,2,58,1,1,1,1,1,1,1,0.0345
0,0,0,0,300.0,1,1,56,1,1,1,1,1,1,1,0.0179
0,0,0,0,150.0,1,1,53,1,1,1,1,1,1,1,0.0189
0,0,1,0,150.0,1,7,65,1,1,1,1,1,1,1,0.1077
0,0,1,0,150.0,1,3,59,1,1,1,1,1,1,1,0.0508
0,4,2,0,150.0,4,2,45,1,1,1,1,1,1,1,0.0444
0,2,1,0,150.0,1,7,68,1,1,1,1,1,1,1,0.1029
0,2,1,0,150.0,1,7,65,1,1,1,1,1,1,1,0.1077
0,0,0,0,150.0,1,3,60,1,1,1,1,1,0,1,0.05
0,0,1,0,150.0,4,1,32,1,1,1,1,1,1,1,0.0312
0,0,0,0,200.0,1,1,61,1,1,1,1,1,1,1,0.0164
0,4,4,0,150.0,1,9,79,1,1,1,1,1,1,1,0.1139
0,4,0,2,150.0,1,1,61,1,1,1,1,1,1,1,0.0164
0,4,2,2,25.0,2,1,69,1,1,1,1,1,0,1,0.0145
0,4,0,2,150.0,1,6,69,1,1,1,1,1,1,1,0.087
0,3,0,2,150.0,1,1,67,1,1,1,1,1,1,1,0.0149
0,3,0,2,150.0,1,2,66,1,1,1,1,1,1,1,0.0303
0,3,0,2,150.0,1,3,54,1,1,1,1,1,1,1,0.0556
0,4,0,2,150.0,1,3,54,1,1,1,1,1,1,1,0.0556
0,0,4,2,150.0,1,3,59,1,1,1,1,1,1,1,0.0508
0,0,5,2,150.0,4,1,46,1,1,1,1,1,1,1,0.0217
0,4,0,2,150.0,1,1,67,1,1,1,1,1,1,1,0.0149
0,4,0,2,600.0,3,1,53,1,1,1,1,1,1,1,0.0189
0,4,0,2,600.0,1,1,53,1,1,1,1,1,1,1,0.0189
0,4,2,2,150.0,1,1,61,1,1,1,1,1,0,1,0.0164
0,3,0,2,150.0,4,2,43,1,1,1,1,1,1,1,0.0465
1,4,4,2,25.0,8,1,18,1,1,1,1,1,1,1,0.0556
0,4,4,2,200.0,4,5,53,1,1,1,1,1,1,1,0.0943
0,4,4,2,150.0,1,1,57,1,1,1,1,1,1,1,0.0175
0,4,4,2,150.0,4,1,42,1,1,1,1,1,1,1,0.0238
0,4,4,2,150.0,1,4,56,1,1,1,1,1,1,1,0.0714
0,4,4,2,150.0,1,4,65,1,1,1,1,1,1,1,0.0615
0,0,0,0,150.0,1,4,65,1,1,0,0,0,1,1,0.0615
0,4,4,2,150.0,1,4,66,1,1,1,1,1,1,1,0.0606
0,4,4,2,300.0,4,2,40,1,1,1,1,1,1,1,0.05
0,4,4,2,300.0,4,2,46,1,1,1,1,1,1,1,0.0435
0,4,4,2,200.0,1,1,62,1,1,1,1,1,1,1,0.0161
0,4,4,2,150.0,1,9,58,1,1,1,1,1,1,1,0.1552
0,4,4,2,300.0,4,1,43,1,1,1,1,1,1,1,0.0233
0,0,0,0,150.0,1,2,56,1,1,1,1,1,1,1,0.0357
0,4,4,2,150.0,1,2,56,1,1,1,1,1,1,1,0.0357
0,4,4,2,150.0,1,8,61,1,1,1,1,1,1,1,0.1311
0,0,4,0,150.0,1,9,59,1,1,1,1,1,1,1,0.1525
0,4,4,2,150.0,1,2,71,1,1,1,1,1,1,1,0.0282
0,0,4,0,300.0,4,2,55,1,1,1,1,1,1,1,0.0364
0,0,4,0,150.0,1,3,56,1,1,1,1,1,1,1,0.0536
0,4,4,2,150.0,1,7,52,1,1,1,1,1,1,1,0.1346
0,4,4,2,200.0,1,3,58,1,1,1,1,1,1,1,0.0517
0,4,4,2,150.0,1,11,67,1,1,1,1,1,1,1,0.1642
0,0,4,0,150.0,1,5,56,1,1,1,1,1,1,1,0.0893
0,4,4,2,150.0,1,1,52,1,1,1,1,1,1,1,0.0192
