OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
78399,83206,ACTIVE,KIT 4,8556,16.2m 200mm  PVC,TREATED,200,PVC,NO,,NONE,991353600000.0,PURCHASED,,KITCHENER,N,,6,1,29,N,N,9.35,N,N,83e309f8-a84d-4f9e-bff9-02961f967d48,16.1860812304007
78404,83212,ACTIVE,KIT 4,11631,3.3m 300mm  DI,TREATED,300,DI,NO,,NONE,189302400000.0,PURCHASED,,KITCHENER,N,,6,1,1,N,N,8.5,N,N,47f5ea2f-769d-45d4-be34-ad323cef1c83,3.26147718723169
78405,1300,ACTIVE,KIT 4,6583,2.8m 150mm  DI,TREATED,150,DI,NO,,NONE,189302400000.0,PURCHASED,,KITCHENER,N,,6,1,1,N,N,8.5,N,N,a0afe2d3-2dcc-4cca-9781-ec431fe18010,2.77994534644325
78406,83214,ACTIVE,KIT 4,6583,12.2m 300mm  DI,TREATED,300,DI,NO,,NONE,189302400000.0,PURCHASED,,KITCHENER,N,,6,1,1,N,N,8.5,N,N,e6df0eb0-a9b3-4e03-978a-5460462908b0,12.1590837308035
78407,83216,ACTIVE,KIT 4,11631,2.6m 150mm  DI,TREATED,150,DI,NO,,NONE,189302400000.0,PURCHASED,,KITCHENER,N,,0,1,0,N,N,8.5,N,N,938207f3-9d70-4d37-8226-b0719420c4a9,2.58581513079549
78408,83218,ACTIVE,KIT 4,10196,14.5m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1220054400000.0,PURCHASED,,KITCHENER,N,,6,5,2,N,N,9.35,N,N,883c0752-3865-465d-837b-9c1baf1c5188,14.4669884865698
78409,69386,ACTIVE,KIT 4,10196,133.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1220054400000.0,PURCHASED,,KITCHENER,N,,5,5,2,N,N,9.35,N,N,0715a81f-0e0e-42a5-afc5-f96c60a6b5eb,133.309134788727
78410,83220,ACTIVE,KIT 4,10196,7.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1220054400000.0,PURCHASED,,KITCHENER,N,,5,5,2,N,N,9.35,N,N,ddb08e69-1e6d-4753-825e-370e06309bdd,7.69397736546082
78411,83222,ACTIVE,KIT 4,10196,106.4m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1220054400000.0,PURCHASED,,KITCHENER,N,,5,5,2,N,N,5.75,N,N,d86a5cc0-55d8-460e-8c62-79ed24ef994e,106.418019880269
78412,13390,ACTIVE,KIT 4,6458,651.1m 450mm  AC,TREATED,450,AC,NO,,NONE,709948800000.0,DONATED,NA,REGION,N,,6,1,0,N,N,8.9,N,N,a2207acf-c8e6-411a-9d31-934b8753f079,651.136101723452
78413,83224,ACTIVE,KIT 4,6456,13.6m 450mm  AC,TREATED,450,AC,NO,,NONE,709948800000.0,DONATED,NA,REGION,N,,0,1,0,N,N,8.9,N,N,b221e302-8e8c-4ec1-a2b4-0c03c413beaf,13.5789691882764
78415,83226,ACTIVE,KIT 5,21733,5.2m 200mm  PVC,TREATED,200,PVC,NO,,NONE,991353600000.0,PURCHASED,,REGION,N,,0,6,32,N,N,9.35,N,Y,cb7cf285-db0e-4b70-8442-b1ffc0ed330c,5.2165125433256
78416,146234,ACTIVE,KIT 4,10875,.8m 300mm  DI,TREATED,300,DI,NO,,NONE,959817600000.0,PURCHASED,,KITCHENER,N,,6,5,5,N,N,9.1,N,N,bc24ab86-7bf5-4aed-9d10-6a9e341a0c42,0.800042054688934
78417,83228,ACTIVE,KIT 5,600582,5.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1117584000000.0,DONATED,,KITCHENER,N,,6,3,0,N,N,9.35,N,N,f7bb77d8-df35-4813-8a08-c9260ac46ffe,5.82114500423587
78418,83230,ACTIVE,KIT 5,600582,45.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1117584000000.0,DONATED,,KITCHENER,N,,6,3,0,N,N,9.35,N,N,8eed9ccd-dd9b-4d87-9dbf-e8d3edaba720,45.8165599352692
78419,71480,ACTIVE,KIT 5,600582,105.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1117584000000.0,DONATED,,KITCHENER,N,,6,3,0,N,N,9.35,N,N,3eb5b814-83ca-4ef5-a6a4-fd6d246bdc02,105.771748323905
78424,65460,ACTIVE,KIT 4,25561,5.4m 250mm  DI,TREATED,250,DI,NO,,NONE,959817600000.0,PURCHASED,,KITCHENER,N,,7,3,17,N,N,9.1,N,N,3c8928fb-41c0-4d5f-9ccd-c88d0fe34c26,5.44479279075371
78425,83236,ACTIVE,KIT 4,25561,1.7m 250mm  DI,TREATED,250,DI,NO,,NONE,959817600000.0,PURCHASED,,KITCHENER,N,,7,5,30,N,N,9.1,N,N,8b0fda53-a693-4efa-9016-2ff7b8087425,1.7378352234057
78426,11320,ACTIVE,KIT 4,1362,66.1m 300mm  DI,TREATED,300,DI,NO,,NONE,378691200000.0,PURCHASED,,KITCHENER,N,,6,1,26,N,N,9.1,N,N,67aae7ad-6323-4c77-a46d-8324248820cc,66.058916963672
78427,83238,ACTIVE,KIT 4,5876,6.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1086048000000.0,PURCHASED,,KITCHENER,N,,6,2,7,N,N,9.35,N,N,c3478f94-0482-4d24-9b24-481b0e2d20e5,6.33857284412817
78428,69860,ACTIVE,KIT 4,5874,73.5m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1086048000000.0,PURCHASED,,KITCHENER,N,,6,2,7,N,N,9.35,N,N,b4d5cb23-1a10-405e-816d-df0ecb30645c,73.5437805531909
