OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,ROAD_CLOSED,SIDEWALK_CLOSED,HOUR_IMPACTED,UNITS_IMPACTED,CW_SERVICE_REQUEST,STATUS,STATUS_DATE,WORKORDER,RETURN_TO_NORMAL,BREAK_NATURE,BREAK_APPARENT_CAUSE,REPAIR_TYPE,NEW_SECTION_LENGTH,MAINTENANCE_DESC,VALVES_CLOSED,VALVES_OPENED,HYDRANTS_CALLED_OUT,HYDRANTS_CALLED_BACK_IN,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,DISINFECTED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,BACTERIA_TESTING_DATE,HEALTH_DEPT_NOTIFICATION,MOECC_SAC_NOTIFICATION,SAC_REFERENCE_NO,LOCAL_MOE_OFFICE,BWA_DWA,BWA_DWA_DECLARED,PROCEEDURES_FOLLOWED,RECORD_CHANGE_REQD,ROADSEGMENTID,CIVIC_NUMBER,STREET,ASSETID,ASSET_DEPTH,FROST_DEPTH,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
8010,73,1103414400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,11103,17,BISMARK AVE,76420,,,150.0,2009,PVC,N,1431fd09-add6-4eea-a265-f44f2fe78cb0
8011,728,1068940800000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,603815,,SHIRLEY AVE,32900,,,300.0,1960,CI,Y,47d945a5-d82e-4db9-8a46-42b5eb858dde
8012,1113,1173225600000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,170562.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,12095,80,FLORENCE AVE,14690,,,,,,N,d9a5c6eb-e57a-4e2d-84b0-0962f6faa35e
8013,468,1074384000000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,6508,143,WESTMOUNT RD E,42520,,,300.0,1959,CI,Y,cd5ff175-73f0-46c9-80b9-0130cdc32732
8014,174,853113600000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,10015,777,WEBER ST E,41030,,,150.0,1952,CI,Y,cec67b18-68fe-4a75-b82f-27168e0616fa
8015,1678,1323963506000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,6336,131,GLEN RD,136126,,,150.0,2017,PVCO,N,fd99993e-cc6b-4ffc-8fdf-14006a471b71
8016,410,919123200000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,70353,62,NOEL CRES,27910,,,100.0,1958,CI,Y,8d87fdac-6285-481b-9fdd-74fb88d23420
8017,924,949795200000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,10747,890,COURTLAND AVE E,8430,,,300.0,1970,DI,Y,deb34e14-f052-4919-ba83-691c63254ad7
8018,1130,1177286400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,172723.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,21220,392,WESTHEIGHTS DR,42130,,,300.0,1974,DI,Y,0a84898a-d197-4938-85d3-2f61cba6b9cb
8019,70,1046131200000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,11490,164,MERNER AVE,98392,,,150.0,2014,PVCO,N,b9cc8fdc-a06e-444c-b86f-b040fc5e7711
