OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
88935,17330,ACTIVE,KIT 4,13293,110.4m 150mm  CI,TREATED,150,CI,NO,,NONE,1956/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,7,N,N,6.15,N,N,6fc06059-5784-48b7-91c3-df2d0102946e,110.427038057803
88936,17940,ACTIVE,KIT 4,6999,197.8m 150mm  DI,TREATED,150,DI,NO,,NONE,1981/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,2,38,N,N,8.5,N,N,03cb86bf-430b-422b-9df9-9409655a4def,197.822911005156
88937,63680,ACTIVE,KIT 4,10950,68.7m 150mm  CI,TREATED,150,CI,NO,,NONE,1958/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,9,N,N,5.35,N,N,ae58d2c0-a23a-49ed-bf8d-800e0ce5550e,68.6984607505272
88939,93312,ACTIVE,KIT 6,21164,21.6m 300mm  DI,TREATED,300,DI,NO,,NONE,1989/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,6,37,N,N,9.1,N,Y,05eaf9bd-d369-4fbf-9e6a-a0ace2c60123,21.6399709644989
88940,42020,ACTIVE,KIT 6,5514,139.1m 300mm  DI,TREATED,300,DI,NO,,NONE,1989/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,6,37,N,N,9.1,N,Y,b74d6c06-b876-4ef4-ab7d-304932d78474,139.106264482373
88941,93314,ACTIVE,KIT 6,5514,6.7m 300mm  DI,TREATED,300,DI,NO,,NONE,1989/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,37,N,N,9.1,N,Y,d9f1a9e3-597f-4e01-a889-c46f706bd78a,6.74471110330345
88942,38280,ACTIVE,KIT 4,21983,203.5m 300mm  DI,TREATED,300,DI,NO,,NONE,1972/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,8.5,N,N,21c6411c-2a2f-4e18-b121-c97d7d0b874d,203.540491680697
88943,93316,ACTIVE,KIT 4,21983,29.6m 300mm  DI,TREATED,300,DI,NO,,NONE,1972/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,3,14,N,N,8.5,N,N,80ae5d52-4c19-4fa7-9bb2-870e509e86f6,29.5912863550053
88945,59270,ACTIVE,KIT 4,11477,166.4m 300mm  DI,TREATED,300,DI,NO,,NONE,1993/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,1,N,N,9.1,N,N,357852dd-95f6-419b-8ce5-735e666d1a48,166.351727517492
88946,93320,ACTIVE,KIT 4,11453,1.8m 300mm  DI,TREATED,300,DI,NO,,NONE,1993/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,0,2,1,N,N,9.1,N,N,78b203a8-f643-442d-9ff5-71345e939c27,1.77669720621839
88947,93322,ACTIVE,KIT 4,11477,10.9m 300mm  DI,TREATED,300,DI,NO,,NONE,1993/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,2,1,N,N,9.1,N,N,7e4a40fb-c057-4f88-b78e-5f1b20ff44b0,10.8885085265756
88948,3090,ACTIVE,KIT 4,9297,15.9m 300mm  DI,TREATED,300,DI,NO,,NONE,1973/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,3,3,N,N,8.5,N,N,0aca9a72-ec2f-46a2-a932-9b2f5b749562,15.9458093706172
88949,93324,ACTIVE,KIT 4,10812,1.5m 300mm  DI,TREATED,300,DI,NO,,NONE,1973/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,3,3,N,N,8.5,N,N,4551cb1d-5a2b-4813-9e6d-1009be7aaaf3,1.52488483482612
88951,60410,ACTIVE,KIT 4,11660,18.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1997/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,2,2,N,N,9.35,N,N,33bb343a-e05a-4b6c-9a6c-a8e3f0dfb484,18.7129718508767
88952,93326,ACTIVE,KIT 4,11660,2.4m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1997/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,2,2,N,N,9.35,N,N,ed569c15-d98c-4929-b238-bf7884dccc48,2.44692018655122
88953,33210,ACTIVE,KIT 6,5493,76.7m 150mm  DI,TREATED,150,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,6,7,N,N,8.5,N,N,412bd99e-bdb6-479d-b2ed-d9eb8440bd5e,76.6947121862221
88954,93328,ACTIVE,KIT 6,5459,11.9m 150mm  DI,TREATED,150,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,6,7,N,N,8.5,N,N,ba48052b-b217-4027-9f04-09453bf69d23,11.9320928330792
88955,93330,ACTIVE,KIT 5,600598,7.6m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2004/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,0,N,N,9.35,N,N,0247d788-78fc-4866-85c6-bd59998afc27,7.55379941528911
88956,93332,ACTIVE,KIT 5,600598,6.4m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2004/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,0,N,N,9.35,N,N,c9ac0339-e1c2-45ee-9cf8-96a513728b47,6.44345986702118
88957,70250,ACTIVE,KIT 5,600598,212.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2004/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,0,N,N,9.35,N,N,e89e85e6-09ce-4424-8607-332a77e51aad,212.743582109396
88958,93334,ACTIVE,KIT 5,5622,5.4m 200mm  DI,TREATED,200,DI,NO,,NONE,1971/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,13,N,N,8.5,N,Y,fafc19e7-a497-48d0-96ea-ac082a58f557,5.35261210247759
88959,11850,ACTIVE,KIT 5,5622,31.8m 200mm  DI,TREATED,200,DI,NO,,NONE,1971/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,13,N,N,8.5,N,Y,f6641e31-0d05-4669-8555-fc253312b190,31.8194067917407
88960,93336,ACTIVE,KIT 4,600067,8.2m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2009/01/12 00:00:00+00,DONATED,,KITCHENER,N,,6,4,31,N,N,9.35,N,N,59a22bfa-a957-44de-ad4e-b34761e0982d,8.18329229713733
88961,93338,ACTIVE,KIT 4,600067,8.1m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2009/01/12 00:00:00+00,DONATED,,KITCHENER,N,,6,4,31,N,N,9.35,N,N,be5aec42-fbe9-4954-a744-d619bafe0dbe,8.11148136492877
88962,93340,ACTIVE,KIT 4,600067,127.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2009/02/20 00:00:00+00,DONATED,MTE,KITCHENER,N,,6,4,31,N,N,9.35,N,N,fa49afc5-cb30-4cae-ae5f-ba15446dbc80,127.769095806535
88963,76127,ACTIVE,KIT 4,600067,209.4m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2009/01/12 00:00:00+00,DONATED,,KITCHENER,N,,6,4,31,N,N,9.35,N,N,d8cca3a3-3ec0-4d35-a8c9-c9b59f63d35d,209.441121895608
88964,93342,ACTIVE,KIT 4,21419,8.4m 300mm  DI,TREATED,300,DI,NO,,NONE,1988/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,17,N,N,9.1,N,N,ef8a4266-2a3b-4d86-8a1e-6d80635191fe,8.42245733200556
88965,93344,ACTIVE,KIT 4,21419,17.7m 300mm  DI,TREATED,300,DI,NO,,NONE,1988/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,17,N,N,9.1,N,N,513e39de-f909-4a31-805c-2319a06282d8,17.6678634231267
88966,2610,ACTIVE,KIT 4,21419,58.7m 300mm  DI,TREATED,300,DI,NO,,NONE,1988/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,17,N,N,9.1,N,N,73cbc63e-e67c-4c2b-b2fd-4b7221684cab,58.6564039972193
88967,93346,ACTIVE,KIT 4,15171,8.9m 200mm  DI,TREATED,200,DI,NO,,NONE,1988/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,21,N,N,9.1,N,N,1d8308f9-cc34-401a-a37c-2983acba4887,8.8885044161896
88968,41920,ACTIVE,KIT 4,15171,78.3m 200mm  DI,TREATED,200,DI,NO,,NONE,1988/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,4,21,N,N,9.1,N,N,5eab684f-8b31-4749-9115-826d4bd6d519,78.2888172147393
88969,42170,ACTIVE,KIT 5,5631,38.5m 300mm  DI,TREATED,300,DI,NO,,NONE,1973/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,6,12,N,N,8.5,N,Y,64d0e6ea-3983-41c9-89e1-2eca13ec5aa6,38.5333940825145
88970,93348,ACTIVE,KIT 5,5631,11.4m 300mm  DI,TREATED,300,DI,NO,,NONE,1973/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,6,12,N,N,8.5,N,Y,928699f6-0640-40c7-bb0d-9d5e3ca56ae3,11.4405592652904
88971,55460,ACTIVE,KIT 4,25388,60.5m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1994/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,4,32,N,N,9.35,N,N,aa3bcd92-8d79-40e7-88d1-90683c922560,60.4733516821951
88972,93350,ACTIVE,KIT 4,25388,12.7m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1994/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,4,32,N,N,9.35,N,N,cfd0f3a8-719e-489d-8777-489f1f0b0cf9,12.7302530071107
88973,61915,ACTIVE,KIT 5,9562,111.7m 150mm  DI,TREATED,150,DI,NO,,NONE,1977/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,21,N,N,8.5,N,N,bb82061b-cd10-4cc5-87cc-f66fbc3c62eb,111.72010119465
