OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,OVERSIZED_DIAMETER,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,GlobalID,Shape__Length
87893,92222,ACTIVE,KIT 4,8531,14.1m 150mm  PVC,TREATED,150,,PVC,NO,,NONE,2004/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,2,7,N,N,9.35,N,301eb910-e87f-4eb1-93a4-c689ae1f0502,14.1279610319053
87895,69870,ACTIVE,KIT 4,8531,175.3m 150mm  PVC,TREATED,150,,PVC,NO,,NONE,2004/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,2,7,N,N,9.35,N,7db790c6-fc47-46b9-b3ea-b30dea54da51,175.256035044047
87896,92226,ACTIVE,KIT 4,9347,10.2m 150mm  DI,TREATED,150,,DI,NO,,NONE,1973/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,6,N,N,8.5,N,9550c455-d02d-4697-aede-143bc226c621,10.2059122986122
87897,92228,ACTIVE,KIT 4,9347,9.9m 150mm  DI,TREATED,150,,DI,NO,,NONE,1973/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,6,N,N,8.5,N,9d010dcd-ebb6-4249-a841-4b6af9162e6b,9.88023209875423
87898,19550,ACTIVE,KIT 4,9347,187.5m 150mm  DI,TREATED,150,,DI,NO,,NONE,1973/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,6,N,N,8.5,N,3745538d-3a13-484e-870c-9da0f3f05972,187.540158411144
87899,92230,ACTIVE,KIT 4,9347,134.7m 150mm  DI,TREATED,150,,DI,NO,,NONE,1973/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,6,N,N,8.05,N,20eb14c7-90db-4766-ac8c-da21110ce784,134.713723025202
87900,92232,ACTIVE,KIT 2W,21925,7m 200mm  DI,TREATED,200,,DI,NO,,NONE,1971/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,31,N,N,8.5,N,e6479ab3-ae02-49b1-9811-7fbe36bb6f48,7.02140329023164
87901,38910,ACTIVE,KIT 2W,21925,105m 200mm  DI,TREATED,200,,DI,NO,,NONE,1971/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,31,N,N,8.5,N,ae07b3a1-71f7-4496-b47d-ddb7c3168cd9,104.989487791536
87902,92234,ACTIVE,KIT 5,5620,12.5m 150mm  DI,TREATED,150,,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,8.5,N,a57f3d3d-6f48-48a9-b663-7f6d409c162c,12.5042650509271
87903,19480,ACTIVE,KIT 5,5620,247.3m 150mm  DI,TREATED,150,,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,6.9,N,037b6b65-09a0-4ee8-9407-08ceb79fce6c,247.333890121534
87904,92236,ACTIVE,KIT 5,5620,188.8m 150mm  DI,TREATED,150,,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,8.5,N,2f2db97d-a6f6-428a-8269-10cc4fbb7399,188.784986710303
87905,92238,ACTIVE,KIT 5,5620,81.2m 150mm  DI,TREATED,150,,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,6.1,N,f6667265-0e8e-44a2-8357-a506c5c5cfa9,81.2378790483092
87906,92240,ACTIVE,KIT 5,5620,13.6m 150mm  DI,TREATED,150,,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,0,N,N,8.5,N,02c47bbb-d1a6-4f08-86ad-262ce2e6eb5e,13.6111491305666
87907,92242,ACTIVE,KIT 4,8909,6.1m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2006/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,6,N,N,9.35,N,d64c73b6-824f-4742-a33c-6cf0ece24c52,6.0875266787379
87908,76025,ACTIVE,KIT 4,8909,98.7m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2006/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,6,N,N,9.35,N,7afefe97-7f64-43c5-981b-050dbedaf4af,98.707936210811
87909,92244,ACTIVE,KIT 4,8909,6.8m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2006/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,2,6,N,N,9.35,N,a8abfacb-7b1a-48f0-85fb-0fe6329b10e6,6.84516705756578
87910,470,ACTIVE,KIT 4,11091,128.8m 300mm  DI,TREATED,300,,DI,NO,,NONE,1988/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,31,N,N,9.1,N,7c7d71f3-770e-4196-b3bc-99135cab04a6,128.779783471843
87911,37380,ACTIVE,KIT 4,50139,83.7m 300mm  CI,TREATED,300,,CI,YES,1970/01/02 05:00:00+00,CEMENT,1930/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,2,1,N,N,7.75,N,9119dcea-c13f-4a97-8c55-3759791b1607,83.708311152657
87912,92246,ACTIVE,KIT 4,9604,3.7m 150mm  DI,TREATED,150,,DI,NO,,NONE,1974/11/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,6,N,N,8.5,N,be41d097-89be-4fc3-a884-6bad083dae51,3.65779319355716
87913,35330,ACTIVE,KIT 4,9604,103.7m 150mm  DI,TREATED,150,,DI,NO,,NONE,1974/11/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,6,N,N,8.5,N,8938403b-f3a7-4676-97e6-f05994dcf5c0,103.691520326926
87914,68140,ACTIVE,KIT 6,5463,41.3m 300mm  HDPE,TREATED,300,,HDPE,NO,,NONE,2002/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,6,0,N,N,6.8,N,4afda7ad-55ab-44e0-8d94-2d6be84bc074,41.3250562243629
87915,92248,ACTIVE,KIT 4,23029,11.7m 300mm  DI,TREATED,300,,DI,NO,,NONE,1986/06/01 00:00:00+00,DONATED,,KITCHENER,N,,7,4,26,N,N,9.1,N,1f8e84a2-1056-4923-a032-16e4c62b23f6,11.72629228784
87916,11360,ACTIVE,KIT 4,23029,47m 300mm  DI,TREATED,300,,DI,NO,,NONE,1986/06/01 00:00:00+00,DONATED,,KITCHENER,N,,7,4,26,N,N,9.1,N,2a84baea-8018-43b8-986e-4c9b612825ec,46.9744648907771
87917,7280,ACTIVE,KIT 4,8612,53.2m 150mm  CI,TREATED,150,,CI,NO,,NONE,1956/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,1,31,N,N,4.95,N,e848ce37-730c-43eb-9b09-c30c3558911d,53.203833188656
87918,92250,ACTIVE,KIT 4,10838,2.6m 150mm  DI,TREATED,150,,DI,NO,,NONE,1969/01/01 00:00:00+00,DONATED,,KITCHENER,N,,0,3,3,N,N,8.5,N,d0c86590-17eb-4f4d-b97a-e90d5444fe4a,2.57896140377446
87919,92252,ACTIVE,KIT 4,10829,19.4m 150mm  DI,TREATED,150,,DI,NO,,NONE,1969/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,3,N,N,8.5,N,3de07be8-75af-4731-a028-f2a243a75877,19.411262842245
87920,22450,ACTIVE,KIT 4,10829,32.7m 150mm  DI,TREATED,150,,DI,NO,,NONE,1969/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,4,N,N,8.5,N,aa252d43-d280-4048-a588-ee10741ab1d4,32.7424035790747
